"name","date","dem"
"CHL",1935-06-28,-2
"DOM",1924-12-31,-3
"DOM",1930-02-22,-3
"ECU",1925-08-19,-1
"ECU",1948-08-29,-1
"GRC",1925-06-24,-6
"GRC",1926-09-22,-6
"HON",1925-07-06,5
"HON",1936-04-14,5
"IRN",1925-12-13,-7
"IRN",1935-03-20,-7
"SPN",1925-12-03,-6
"SPN",1930-01-27,-6
"GRC",1926-09-23,10
"GRC",1934-10-18,10
"LIT",1926-12-17,0
"LIT",1928-05-13,0
"NIC",1926-12-02,0
"NIC",1928-11-03,0
"POL",1926-05-13,-3
"POL",1935-04-21,-3
"POR",1926-05-27,0
"POR",1930-07-28,0
"SAU",1926-01-15,-10
