"date","sender_id","receiver_id","sender","receiver","year","class","contrition","symbolic","desc"
2002-07-24,"Peru_gov","Peru_min","Peru","Peru",2002,"domestic","3_apology",FALSE,"Peru Health Minister Fernando Carbone issued a public apology following the publication of a report that revealed that the ministry oversaw a forced sterilization program during the presidency of Alberto Fujimori."
2002-07-30,"Pakistan_gov","Bangladesh_gov","Pakistan","Bangladesh",2002,"international","2_regret",FALSE,"Pakistani President Pervez Musharraf expressed regrets for the deaths of nearly 3 million people during BangladeshÕs war of independence in 1971.Ê "
2002-08-15,"Japan_gov","wwii_asia_victims","Japan","wwii_asia_victims",2002,"multilateral","2_regret",FALSE,"Japanese Prime Minister Junichiro Koizumi expressed regrets about JapanÕs past aggression."
2002-09-17,"Japan_gov","North Korea_gov","Japan","North Korea",2002,"international","3_apology",FALSE,"Japan expressed deep regret and heartfelt apology for the damage and suffering to the people of Korea through its colonial rule in the past"
2002-09-28,"North Korea_gov","Japan_gov","North Korea","Japan",2002,"international","3_apology",FALSE,"North Korean leader Kim Jong Il acknowledged that North Korean agents kidnapped Japanese civilians and apologized for the deaths of eight of the victims."
2002-12-07,"Iraq_gov","Kuwait_gov","Iraq","Kuwait",2002,"international","3_apology",FALSE,"Iraqi President Saddam Hussein apologized for invading Kuwait "
2003-01-01,"Nigeria_gov","Nigeria_min","Nigeria","Nigeria",2003,"domestic","3_apology",FALSE,"Nigerian President Olusegun Obasanjo  publicly apologized for the killing of more than 200 unarmed civilians by the army in Benue State in October 2001.
"
2003-05-05,"New Zealand_gov","New Zealand_min","New Zealand","Maori groups",2003,"domestic","3_apology",FALSE,"New Zealand formally apologized for violating treaties with Maori groups "
2003-07-10,"Benin_gov","United States_gov","Benin","United States",2003,"international","3_apology",FALSE,"Benin ambassador apologized for his country's role in the slave trade"
2003-08-12,"Japan_gov","China_gov","Japan","China",2003,"international","3_apology",FALSE,"Japan apologized to China, after dozens of people became sick from exposure to chemical weapons that Japan left in China at end of World War II."
2003-08-15,"Japan_gov","other_multilateral","Japan","other_multilateral",2003,"multilateral","2_regret",FALSE,"Prime Minister Junichiro Koizumi expressed remorse for damage and suffering caused to the people of many countries, particularly to those of Asian nations. "
2003-09-10,"Serbia_gov","Croatia_gov","Serbia","Croatia",2003,"international","3_apology",FALSE,"The President of the Union of Serbia and Montenegro, Svetozar Marovic,  apologized to Croatia"
2003-09-10,"Croatia_gov","Serbia_gov","Croatia","Serbia",2003,"international","3_apology",FALSE,"Croatian president Stjepan Mesic apologized to Serbia and Montenegro for inflicted pain and damage."
2003-10-31,"South Korea_gov","South Korea_min","South Korea","South Korea",2003,"domestic","3_apology",FALSE,"South Korean President, Roh Moo-hyun, visited Jeju island to apologize to Jeju islanders for the April 3 Incident."
2003-11-13,"Serbia_gov","Bosnia and Herzegovina_gov","Serbia","Bosnia and Herzegovina",2003,"international","2_regret",FALSE,"The President of Serbia and Montenegro, Svetozar Marovic, expressed regret for the wrongs committed by any citizen of Serbia and Montenegro against the people of Bosnia"
2004-01-01,"South Korea_gov","Vietnam_gov","South Korea","Vietnam",2004,"international","3_apology",TRUE,"South Korean President Roh Moo-hyun said that Korea had a ÒdebtÓ to repay while paying tribute to VietnamÕs communist revolutionary leader Ho Chi Minh."
2004-01-12,"Germany_gov","Namibia_gov","Germany","Namibia",2004,"international","2_regret",FALSE,"GermanyÕs ambassador to Namibia, Wolfgang Massing, expressed his countryÕs regret over the killing of thousands of people of the Herero tribe by German colonial troops."
2004-02-25,"Uganda_gov","Uganda_min","Uganda",NA,2004,"domestic","3_apology",FALSE,"Uganda President Museveni apologized for the armyÕs failure to prevent a deadly rebel attack on a refugee camp."
2004-02-25,"Guatemala_gov","Guatemala_min","Guatemala","Guatemala",2004,"domestic","3_apology",FALSE,"Guatemalan President Oscar Berger asked forgiveness for the state's role in the country's long civil war"
